tag,utterance
QUESTION:YESNO,Does a zebra have stripes
QUESTION:YESNO,Does an alligator live in water or on land
QUESTION:YESNO,Does an octopus have eight legs
QUESTION:YESNO,Does an orange have more juice than a banana
QUESTION:YESNO,Does an ostrich bury its head in the sand
QUESTION:YESNO,Does he read every day
QUESTION:YESNO,Does it snow during the summer
QUESTION:YESNO,Does my dog bark loudly
QUESTION:YESNO,Does she have a job
QUESTION:YESNO,Does she love tennis
QUESTION:YESNO,Does the Amazon rainforest span multiple countries
QUESTION:YESNO,Does the Earth have an atmosphere
QUESTION:YESNO,Does the Nile River flow through Egypt
QUESTION:YESNO,Does the earth revolve around the sun
QUESTION:YESNO,Does the moon have an atmosphere
QUESTION:YESNO,Does the moon orbit the Earth
QUESTION:YESNO,Does the moon revolve around the earth
QUESTION:YESNO,Does the sun make things hot
QUESTION:YESNO,Does the sun rise in the east
QUESTION:YESNO,Does the sun rise in the east and set in the west
QUESTION:YESNO,Does water freeze at 0 degrees Celsius
QUESTION:YESNO,Does yogurt go bad if it isn't refrigerated
QUESTION:YESNO,Does your birthday always happen on the same day
QUESTION:YESNO,Does your dog bark loudly
QUESTION:YESNO,Has John been fired
QUESTION:YESNO,Has he been working here
QUESTION:YESNO,Has he had surgery
QUESTION:YESNO,Has she done the housework
QUESTION:YESNO,Has she had a job
QUESTION:YESNO,Has the mail been delivered
QUESTION:YESNO,Has the order been approved
QUESTION:YESNO,Has the restaurant closed
QUESTION:YESNO,Has the train arrived
QUESTION:YESNO,Have they finished
QUESTION:YESNO,Have you bought groceries today
QUESTION:YESNO,Have you eaten breakfast today
QUESTION:YESNO,Have you finished your homework
QUESTION:YESNO,Have you got a car
QUESTION:YESNO,Have you got a pen
QUESTION:YESNO,Have you seen Michael
QUESTION:YESNO,Have you visited Paris before
QUESTION:YESNO,If it is June, is it hot in the North Pole
QUESTION:YESNO,If someone cries, are they sad
QUESTION:YESNO,If someone smiles, are they sad
QUESTION:YESNO,If something is light, would it sink
QUESTION:YESNO,If something is tasty, is it bad
QUESTION:YESNO,If something smells, does it stink
QUESTION:YESNO,If there are laves on the ground, is it winter
QUESTION:YESNO,If there is snow on the ground, is it summer
QUESTION:YESNO,If you break an egg, can you fix it
QUESTION:YESNO,If you cut yourself really bad, should you go to the dentist
QUESTION:YESNO,If you have a ball, can you play catch
QUESTION:YESNO,If you have a bracelet, do you own jewelry
QUESTION:YESNO,If you have a pen and paper, can you write your name
QUESTION:YESNO,If you have boiling water, is it hot
QUESTION:YESNO,If you rip your shirt, would you staple it back together
QUESTION:YESNO,If you want to watch a movie, would you go to a bank
QUESTION:YESNO,If you wanted to get warm, would you drink hot chocolate
QUESTION:YESNO,If you went to a restaurant, would you see clowns
QUESTION:YESNO,If you were a bee, could you sing
QUESTION:YESNO,If you were a bird, would you have fins
QUESTION:YESNO,If you were a builder, would you use a hammer
QUESTION:YESNO,If you were a cat, would you have three legs
QUESTION:YESNO,If you were a caterpillar, would you have legs
QUESTION:YESNO,If you were a chair, could you swim
QUESTION:YESNO,If you were a computer, would you be alive
QUESTION:YESNO,If you were a fish, could you jump
QUESTION:YESNO,If you were a horse, could you gallup
QUESTION:YESNO,If you were a shark, would you eat fish
QUESTION:YESNO,If you were an ant, would you live in dirt
QUESTION:YESNO,If you were an owner, would you have a pet
QUESTION:YESNO,If you were rotten, would you smell nice
QUESTION:YESNO,If your bike has a flat tire, should you ride it
QUESTION:YESNO,Is 50% higher than 48%
QUESTION:YESNO,Is 9:30 p.m. later than 3:30 p.m
QUESTION:YESNO,Is Africa the largest continent
QUESTION:YESNO,Is Africa the second-largest continent in the world
QUESTION:YESNO,Is Antarctica the coldest continent
QUESTION:YESNO,Is Australia a country or a continent
QUESTION:YESNO,Is Australia the smallest continent in the world
QUESTION:YESNO,Is English the official language of China
QUESTION:YESNO,Is English the official language of the United States
QUESTION:YESNO,Is John a doctor
QUESTION:YESNO,Is Luan going to be hired
QUESTION:YESNO,Is Mount Everest the highest mountain in the world
QUESTION:YESNO,Is Mount Everest the tallest mountain in the world
QUESTION:YESNO,Is New York City small
QUESTION:YESNO,Is Peter going to go
QUESTION:YESNO,Is a banana a type of fruit
QUESTION:YESNO,Is a brick heavier than a feather
QUESTION:YESNO,Is a butterfly an insect
QUESTION:YESNO,Is a car bigger than a person
QUESTION:YESNO,Is a car faster than a bicycle
QUESTION:YESNO,Is a carrot a type of vegetable
QUESTION:YESNO,Is a carrot a vegetable
QUESTION:YESNO,Is a clown funnier than a doctor
QUESTION:YESNO,Is a computer an electronic device
QUESTION:YESNO,Is a cow bigger than an elephant
QUESTION:YESNO,Is a crocodile a reptile
QUESTION:YESNO,Is a day longer than a week
QUESTION:YESNO,Is a dolphin a mammal
QUESTION:YESNO,Is a father older than his son
QUESTION:YESNO,Is a gallon less than a cup
QUESTION:YESNO,Is a giraffe taller than an elephant
QUESTION:YESNO,Is a hurricane dangerous
QUESTION:YESNO,Is a koala a bear
QUESTION:YESNO,Is a lion the king of the jungle
QUESTION:YESNO,Is a mile longer than a football field
QUESTION:YESNO,Is a month longer than an hour
QUESTION:YESNO,Is a pair of shoes more than one shoe
QUESTION:YESNO,Is a pair of socks less than three pairs
QUESTION:YESNO,Is a panda a bear
QUESTION:YESNO,Is a penguin a bird
QUESTION:YESNO,Is a piano a type of percussion instrument
QUESTION:YESNO,Is a rhinoceros a mammal
QUESTION:YESNO,Is a screwdriver a tool
QUESTION:YESNO,Is a spider an insect
QUESTION:YESNO,Is a square a type of rectangle
QUESTION:YESNO,Is a square also a rectangle
QUESTION:YESNO,Is a state bigger than a city
QUESTION:YESNO,Is a tiger a carnivore
QUESTION:YESNO,Is a tomato a fruit
QUESTION:YESNO,Is a tomato a fruit or a vegetable
QUESTION:YESNO,Is a triangle a shape with three sides
QUESTION:YESNO,Is a turtle a reptile
QUESTION:YESNO,Is a violin a stringed instrument
QUESTION:YESNO,Is a whale a fish
QUESTION:YESNO,Is a whale a mammal or a fish
QUESTION:YESNO,Is a year longer than six months
QUESTION:YESNO,Is a zebra black and white
QUESTION:YESNO,Is an egg a dairy product
QUESTION:YESNO,Is an elephant bigger than a mouse
QUESTION:YESNO,Is baking soda the same as baking powder
QUESTION:YESNO,Is basketball played with a ball
QUESTION:YESNO,Is basketball played with a bat
QUESTION:YESNO,Is building a house hard work
QUESTION:YESNO,Is chocolate a type of candy
QUESTION:YESNO,Is chocolate a type of vegetable
QUESTION:YESNO,Is chocolate made from cocoa beans
QUESTION:YESNO,Is chocolate sweet
QUESTION:YESNO,Is coffee made from coffee beans
QUESTION:YESNO,Is coral a type of plant
QUESTION:YESNO,Is electricity a form of energy
QUESTION:YESNO,Is fire hot
QUESTION:YESNO,Is fire hot or cold
QUESTION:YESNO,Is five dollars more than one hundred
QUESTION:YESNO,Is glass a type of solid
QUESTION:YESNO,Is gold a metal
QUESTION:YESNO,Is gold a type of metal
QUESTION:YESNO,Is half an apple less than one apple
QUESTION:YESNO,Is he a bad person
QUESTION:YESNO,Is he a good person
QUESTION:YESNO,Is he being interviewed now
QUESTION:YESNO,Is he fat
QUESTION:YESNO,Is he tall
QUESTION:YESNO,Is helium a gas
QUESTION:YESNO,Is honey made by bees
QUESTION:YESNO,Is ice cream cold
QUESTION:YESNO,Is iron a metal
QUESTION:YESNO,Is it 4 o'clock
QUESTION:YESNO,Is it a doctor's job to save people
QUESTION:YESNO,Is it cold outside
QUESTION:YESNO,Is it going to rain tomorrow
QUESTION:YESNO,Is it possible to live without water
QUESTION:YESNO,Is it possible to walk on water
QUESTION:YESNO,Is it raining outside
QUESTION:YESNO,Is it sunny outside
QUESTION:YESNO,Is my name being called
QUESTION:YESNO,Is nitrogen a gas
QUESTION:YESNO,Is one million a big number
QUESTION:YESNO,Is oxygen a gas
QUESTION:YESNO,Is paper used to wash clothes
QUESTION:YESNO,Is pizza Italian
QUESTION:YESNO,Is she a bad person
QUESTION:YESNO,Is she a good person
QUESTION:YESNO,Is she being interviewed now
QUESTION:YESNO,Is she fat
QUESTION:YESNO,Is she tall
QUESTION:YESNO,Is snow cold
QUESTION:YESNO,Is soccer played with a ball
QUESTION:YESNO,Is tea a type of drink
QUESTION:YESNO,Is tea made from tea leaves
QUESTION:YESNO,Is the Acropolis located in Athens
QUESTION:YESNO,Is the Amazon River the longest river in the world
QUESTION:YESNO,Is the Atlantic Ocean larger than the Indian Ocean
QUESTION:YESNO,Is the Colosseum located in Rome
QUESTION:YESNO,Is the Dead Sea the lowest point on Earth
QUESTION:YESNO,Is the Earth flat
QUESTION:YESNO,Is the Earth round
QUESTION:YESNO,Is the Earth's atmosphere made up of oxygen and nitrogen
QUESTION:YESNO,Is the Eiffel Tower in France
QUESTION:YESNO,Is the Eiffel Tower in Paris
QUESTION:YESNO,Is the Eiffel Tower located in France
QUESTION:YESNO,Is the Eiffel Tower located in Paris
QUESTION:YESNO,Is the Grand Canyon in Arizona
QUESTION:YESNO,Is the Grand Canyon the largest canyon in the world
QUESTION:YESNO,Is the Great Barrier Reef the largest coral reef in the world
QUESTION:YESNO,Is the Great Wall of China the longest wall in the world
QUESTION:YESNO,Is the Great Wall of China visible from space
QUESTION:YESNO,Is the Leaning Tower of Pisa located in Italy
QUESTION:YESNO,Is the Mona Lisa a painting
QUESTION:YESNO,Is the Mona Lisa painting by Leonardo da Vinci
QUESTION:YESNO,Is the Mona Lisa painting located in the Louvre Museum
QUESTION:YESNO,Is the Nile River in Egypt
QUESTION:YESNO,Is the Nile River the longest river in Africa
QUESTION:YESNO,Is the Nile River the longest river in the world
QUESTION:YESNO,Is the North Pole colder than the South Pole
QUESTION:YESNO,Is the Pacific Ocean the largest ocean in the world
QUESTION:YESNO,Is the Pacific Ocean the largest ocean on Earth
QUESTION:YESNO,Is the Sahara Desert the largest hot desert in the world
QUESTION:YESNO,Is the Sistine Chapel located in Vatican City
QUESTION:YESNO,Is the Statue of Liberty in New York City
QUESTION:YESNO,Is the Statue of Liberty located in New York
QUESTION:YESNO,Is the Statue of Liberty located in New York City
QUESTION:YESNO,Is the Taj Mahal located in India
QUESTION:YESNO,Is the Titanic still intact on the ocean floor
QUESTION:YESNO,Is the United States a country
QUESTION:YESNO,Is the United States the largest country in the world
QUESTION:YESNO,Is the White House the home of the President of the United States
QUESTION:YESNO,Is the band Led Zeppelin from England
QUESTION:YESNO,Is the book "The Catcher in the Rye" written by J.D. Salinger
QUESTION:YESNO,Is the city of Rio de Janeiro located in Brazil
QUESTION:YESNO,Is the city of Tokyo located in Japan
QUESTION:YESNO,Is the clarinet a woodwind instrument
QUESTION:YESNO,Is the color blue warm
QUESTION:YESNO,Is the currency used in Australia the Australian dollar
QUESTION:YESNO,Is the currency used in Canada the Canadian dollar
QUESTION:YESNO,Is the currency used in China the Chinese yuan
QUESTION:YESNO,Is the currency used in France the euro
QUESTION:YESNO,Is the currency used in India the Indian rupee
QUESTION:YESNO,Is the currency used in Japan the yen
QUESTION:YESNO,Is the currency used in Mexico the Mexican peso
QUESTION:YESNO,Is the currency used in Russia the Russian ruble
QUESTION:YESNO,Is the currency used in the United Kingdom the pound sterling
QUESTION:YESNO,Is the currency used in the United States the US dollar
QUESTION:YESNO,Is the earth closer to the sun in summer
QUESTION:YESNO,Is the earth flat
QUESTION:YESNO,Is the earth older than the sun
QUESTION:YESNO,Is the earth round
QUESTION:YESNO,Is the film "The Godfather" directed by Francis Ford Coppola
QUESTION:YESNO,Is the grass green
QUESTION:YESNO,Is the guitar a wind instrument
QUESTION:YESNO,Is the human heart located in the abdomen
QUESTION:YESNO,Is the human heart located on the left side of the chest
QUESTION:YESNO,Is the moon a natural satellite of Earth
QUESTION:YESNO,Is the moon a planet
QUESTION:YESNO,Is the moon bigger than Earth
QUESTION:YESNO,Is the moon bigger than the earth
QUESTION:YESNO,Is the moon hotter than the sun
QUESTION:YESNO,Is the moon larger than the earth
QUESTION:YESNO,Is the moon made of cheese
QUESTION:YESNO,Is the moon round
QUESTION:YESNO,Is the ocean salty
QUESTION:YESNO,Is the painting "The Starry Night" by Vincent van Gogh
QUESTION:YESNO,Is the piano a percussion instrument
QUESTION:YESNO,Is the school open
QUESTION:YESNO,Is the singer Beyoncé from the United States
QUESTION:YESNO,Is the sky black at night
QUESTION:YESNO,Is the sky blue
QUESTION:YESNO,Is the sky green
QUESTION:YESNO,Is the song "Bohemian Rhapsody" by Queen
QUESTION:YESNO,Is the speed of light faster than sound
QUESTION:YESNO,Is the speed of light faster than the speed of sound
QUESTION:YESNO,Is the speed of sound constant
QUESTION:YESNO,Is the sun a planet
QUESTION:YESNO,Is the sun a star
QUESTION:YESNO,Is the sun a star or a planet
QUESTION:YESNO,Is the sun hot
QUESTION:YESNO,Is the train going to arrive
QUESTION:YESNO,Is the trumpet a brass instrument
QUESTION:YESNO,Is the universe infinite
QUESTION:YESNO,Is the violin a string instrument
QUESTION:YESNO,Is the world flat
QUESTION:YESNO,Is thirty minutes shorter than one hour
QUESTION:YESNO,Is today Monday
QUESTION:YESNO,Is today my birthday
QUESTION:YESNO,Is today your birthday
QUESTION:YESNO,Is twenty more than fifty
QUESTION:YESNO,Is water wet
QUESTION:YESNO,Is watermelon a type of melon
QUESTION:YESNO,Is whole less than a half
QUESTION:YESNO,Is winter colder than summer
QUESTION:YESNO,Is yoga popular
QUESTION:YESNO,Is your arm bigger than your thigh
QUESTION:YESNO,Might it be broken
QUESTION:YESNO,Must a visa be obtained first
QUESTION:YESNO,Shall we attend
QUESTION:YESNO,Should I take an umbrella
QUESTION:YESNO,Should I wear a jacket
QUESTION:YESNO,Should he practice more
QUESTION:YESNO,Should she practice more
QUESTION:YESNO,Should you always tell the truth
QUESTION:YESNO,Should you brush your teeth twice a day
QUESTION:YESNO,Should you drink enough water every day
QUESTION:YESNO,Should you eat breakfast every morning
QUESTION:YESNO,Should you exercise regularly
QUESTION:YESNO,Should you floss your teeth every day
QUESTION:YESNO,Should you get enough sleep every night
QUESTION:YESNO,Should you get vaccinated against diseases
QUESTION:YESNO,Should you help others when they need it
QUESTION:YESNO,Should you recycle
QUESTION:YESNO,Should you stay away from drugs and alcohol
QUESTION:YESNO,Should you wash your hands before eating
QUESTION:YESNO,Should you wash your hands with soap
QUESTION:YESNO,Should you wear a helmet while riding a bike
QUESTION:YESNO,Should you wear a seatbelt while driving a car
QUESTION:YESNO,Should you wear sunscreen outside
QUESTION:YESNO,Was Albert Einstein a famous scientist
QUESTION:YESNO,Was Isaac Newton known for his laws of motion
QUESTION:YESNO,Was Leonardo da Vinci a famous artist
QUESTION:YESNO,Was Martin Luther King Jr. a civil rights activist
QUESTION:YESNO,Was New York expensive
QUESTION:YESNO,Was Sarah his teacher
QUESTION:YESNO,Was he going to visit
QUESTION:YESNO,Was it nice
QUESTION:YESNO,Was she going to visit
QUESTION:YESNO,Was the book sold
QUESTION:YESNO,Was the price the same
QUESTION:YESNO,Was the printer being repaired
QUESTION:YESNO,Was the waiter rude
QUESTION:YESNO,Were the Vikings known for their seafaring skills
QUESTION:YESNO,Were the ancient Greeks known for their philosophy and mathematics
QUESTION:YESNO,Were they waiting long
QUESTION:YESNO,Were we late
QUESTION:YESNO,Were you rich
QUESTION:YESNO,Were you there
QUESTION:YESNO,Were you tired
QUESTION:YESNO,Will he come
QUESTION:YESNO,Will she come
QUESTION:YESNO,Will the sun eventually run out of fuel
QUESTION:YESNO,Will they be happy
QUESTION:YESNO,Will they be hired
QUESTION:YESNO,Will we join them
QUESTION:YESNO,Will you go to the park
QUESTION:YESNO,Will you join them
QUESTION:YESNO,Will you marry me
QUESTION:YESNO,Would he have been angry
QUESTION:YESNO,Would she have been angry
QUESTION:YESNO,can you die
QUESTION:YESNO,did you know that dogs are animals
QUESTION:YESNO,do you agree that life is beautiful
QUESTION:YESNO,have you finished booting up
QUESTION:YESNO,should i program artificial stupidity
QUESTION:YESNO,will you live forever
SENTENCE:EXCLAMATION,How amazing is that sunset
SENTENCE:EXCLAMATION,How amazing is this dish
SENTENCE:EXCLAMATION,How amazing that sunset is
SENTENCE:EXCLAMATION,How awesome is that
SENTENCE:EXCLAMATION,How beautiful is that artwork
SENTENCE:EXCLAMATION,How beautiful is this artwork
SENTENCE:EXCLAMATION,How beautiful is this flower
SENTENCE:EXCLAMATION,How beautiful that flower is
SENTENCE:EXCLAMATION,How beautiful this flower is
SENTENCE:EXCLAMATION,How breathtaking is the view from here
SENTENCE:EXCLAMATION,How clever you are
SENTENCE:EXCLAMATION,How delicious does this food smell
SENTENCE:EXCLAMATION,How exciting is this news
SENTENCE:EXCLAMATION,How fascinating
SENTENCE:EXCLAMATION,How gorgeous is that dress
SENTENCE:EXCLAMATION,How incredible is that achievement
SENTENCE:EXCLAMATION,How incredible is this artwork
SENTENCE:EXCLAMATION,How incredible is this experience
SENTENCE:EXCLAMATION,How incredible is this view
SENTENCE:EXCLAMATION,How incredible that sunset looks
SENTENCE:EXCLAMATION,How stunning is that sunset
SENTENCE:EXCLAMATION,How stunning is that view
SENTENCE:EXCLAMATION,How stunning is this view
SENTENCE:EXCLAMATION,How wonderful is that
SENTENCE:EXCLAMATION,How wonderful that is
SENTENCE:EXCLAMATION,How,adorable is that baby
SENTENCE:EXCLAMATION,How,amazing is that movie
SENTENCE:EXCLAMATION,How,beautiful is that sunset
SENTENCE:EXCLAMATION,How,brilliant is that idea
SENTENCE:EXCLAMATION,How,charming is that person
SENTENCE:EXCLAMATION,How,comfortable are those shoes
SENTENCE:EXCLAMATION,How,cool is that car
SENTENCE:EXCLAMATION,How,cute is that puppy
SENTENCE:EXCLAMATION,How,entertaining is that show
SENTENCE:EXCLAMATION,How,exciting is that game
SENTENCE:EXCLAMATION,How,fantastic is this book
SENTENCE:EXCLAMATION,How,fascinating is that book
SENTENCE:EXCLAMATION,How,funny is that joke
SENTENCE:EXCLAMATION,How,impressive is that building
SENTENCE:EXCLAMATION,How,impressive is that performance
SENTENCE:EXCLAMATION,How,incredible is that performance
SENTENCE:EXCLAMATION,How,lovely is that flower
SENTENCE:EXCLAMATION,How,magnificent is that building
SENTENCE:EXCLAMATION,How,refreshing is that drink
SENTENCE:EXCLAMATION,How,relaxing is that massage
SENTENCE:EXCLAMATION,How,stunning is that dress
SENTENCE:EXCLAMATION,How,stunning is that outfit
SENTENCE:EXCLAMATION,How,stylish is that outfit
SENTENCE:EXCLAMATION,How,tasty is that dish
SENTENCE:EXCLAMATION,How,wonderful is that song
SENTENCE:EXCLAMATION,That's a great accomplishment
SENTENCE:EXCLAMATION,That's amazing
SENTENCE:EXCLAMATION,That's amazing news
SENTENCE:EXCLAMATION,That's an amazing idea
SENTENCE:EXCLAMATION,That's fantastic
SENTENCE:EXCLAMATION,That's fantastic news
SENTENCE:EXCLAMATION,That's incredible
SENTENCE:EXCLAMATION,That's incredible news
SENTENCE:EXCLAMATION,This is a dream come true
SENTENCE:EXCLAMATION,This is amazing news
SENTENCE:EXCLAMATION,This is fantastic
SENTENCE:EXCLAMATION,This is incredible news
SENTENCE:EXCLAMATION,This is phenomenal news
SENTENCE:EXCLAMATION,This is the best day ever
SENTENCE:EXCLAMATION,This is the best news I've heard all day
SENTENCE:EXCLAMATION,This is the best news ever
SENTENCE:EXCLAMATION,This is the happiest I've felt in a long time
SENTENCE:EXCLAMATION,This is unbelievable
SENTENCE:EXCLAMATION,What a beautiful day
SENTENCE:EXCLAMATION,What a beautiful painting
SENTENCE:EXCLAMATION,What a beautiful view
SENTENCE:EXCLAMATION,What a delicious meal
SENTENCE:EXCLAMATION,What a gorgeous dress
SENTENCE:EXCLAMATION,What a great performance
SENTENCE:EXCLAMATION,What a nice person you are
SENTENCE:EXCLAMATION,What a stunning performance
SENTENCE:EXCLAMATION,What a stunning sunset
SENTENCE:EXCLAMATION,What a stunning view
SENTENCE:EXCLAMATION,What a wonderful surprise
SENTENCE:EXCLAMATION,What an amazing experience
SENTENCE:EXCLAMATION,What an impressive accomplishment
SENTENCE:EXCLAMATION,What an impressive performance by the dancers
SENTENCE:EXCLAMATION,What an incredible view from up here
SENTENCE:EXCLAMATION,Wow, what an amazing performance
SENTENCE:EXCLAMATION,Wow, what an incredible performance
SENTENCE:SOCIAL,Cheers to a great evening
SENTENCE:SOCIAL,Cheers to a great night
SENTENCE:SOCIAL,Congratulations on your graduation
SENTENCE:SOCIAL,Congratulations on your new baby
SENTENCE:SOCIAL,Congratulations on your new job
SENTENCE:SOCIAL,Congratulations on your promotion
SENTENCE:SOCIAL,Enjoy your weekend
SENTENCE:SOCIAL,Get well soon
SENTENCE:SOCIAL,Good luck on your exam
SENTENCE:SOCIAL,Good luck with your interview
SENTENCE:SOCIAL,Good morning
SENTENCE:SOCIAL,Happy Mother's Day
SENTENCE:SOCIAL,Happy New Year
SENTENCE:SOCIAL,Happy Thanksgiving
SENTENCE:SOCIAL,Happy Valentine's Day
SENTENCE:SOCIAL,Happy anniversary
SENTENCE:SOCIAL,Happy birthday
SENTENCE:SOCIAL,Happy holidays
SENTENCE:SOCIAL,Have a great day
SENTENCE:SOCIAL,Have a great day ahead
SENTENCE:SOCIAL,Have a great day at work
SENTENCE:SOCIAL,Have a great weekend
SENTENCE:SOCIAL,Have a nice day
SENTENCE:SOCIAL,Have a safe trip
SENTENCE:SOCIAL,Have a wonderful day
SENTENCE:SOCIAL,Help yourselves to coffee
SENTENCE:SOCIAL,Hope to see you again soon
SENTENCE:SOCIAL,It was great meeting you
SENTENCE:SOCIAL,It was great seeing you again
SENTENCE:SOCIAL,It was nice meeting you
SENTENCE:SOCIAL,It was nice to meet your family
SENTENCE:SOCIAL,Let's grab coffee sometime
SENTENCE:SOCIAL,Let's plan a trip together
SENTENCE:SOCIAL,Stay safe and take care
SENTENCE:SOCIAL,Take care and stay safe
SENTENCE:SOCIAL,Take care of yourself
SENTENCE:SOCIAL,Thank you for being there for me
SENTENCE:SOCIAL,Thank you for coming to my party
SENTENCE:SOCIAL,Thank you for inviting me
SENTENCE:SOCIAL,Thank you for inviting me over
SENTENCE:SOCIAL,Thank you for your help
SENTENCE:SOCIAL,Thank you for your kind words
SENTENCE:SOCIAL,Thank you for your kindness and generosity
SENTENCE:SOCIAL,Thank you for your time
SENTENCE:SOCIAL,Welcome to the team
SENTENCE:STATEMENT,Cooking at home is often healthier than eating out at a restaurant
SENTENCE:STATEMENT,Education is important for personal and societal growth
SENTENCE:STATEMENT,Education is the key to success
SENTENCE:STATEMENT,Exercise can improve both physical and mental health
SENTENCE:STATEMENT,Exercise can improve your mood and reduce stress
SENTENCE:STATEMENT,Hard work pays off in the end
SENTENCE:STATEMENT,Having a positive attitude can make a big difference in your life
SENTENCE:STATEMENT,I believe in the power of positive thinking
SENTENCE:STATEMENT,I believe in treating others with kindness
SENTENCE:STATEMENT,I believe that exercise is important for a healthy lifestyle
SENTENCE:STATEMENT,I don't like spicy food
SENTENCE:STATEMENT,I have been learning to play the guitar for a year now
SENTENCE:STATEMENT,I like Mycroft
SENTENCE:STATEMENT,I like pizza
SENTENCE:STATEMENT,I prefer tea over coffee
SENTENCE:STATEMENT,I think learning a new language is very rewarding
SENTENCE:STATEMENT,I think that music is a universal language
SENTENCE:STATEMENT,I want you to buy bitcoin
SENTENCE:STATEMENT,In my opinion, this restaurant has the best pizza in town
SENTENCE:STATEMENT,Jimmy loves his dog
SENTENCE:STATEMENT,Laughter is the best medicine
SENTENCE:STATEMENT,Money cannot buy happiness
SENTENCE:STATEMENT,Music has a profound impact on human emotions
SENTENCE:STATEMENT,People should be treated equally regardless of their race gender or sexuality
SENTENCE:STATEMENT,Playing sports is good for your health
SENTENCE:STATEMENT,Reading books before bed helps me fall asleep
SENTENCE:STATEMENT,Reading books is a great way to expand your knowledge
SENTENCE:STATEMENT,Reading can improve your vocabulary and critical thinking skills
SENTENCE:STATEMENT,Reading is an important part of learning
SENTENCE:STATEMENT,Reading is my favorite hobby
SENTENCE:STATEMENT,She is an excellent cook
SENTENCE:STATEMENT,She reads two newspapers every day
SENTENCE:STATEMENT,The Amazon Rainforest is the largest rainforest in the world
SENTENCE:STATEMENT,The Declaration of Independence was signed on July 4, 1776
SENTENCE:STATEMENT,The Earth is round
SENTENCE:STATEMENT,The Earth revolves around the sun
SENTENCE:STATEMENT,The Great Barrier Reef is the largest coral reef system in the world
SENTENCE:STATEMENT,The Great Barrier Reef is the world's largest coral reef system
SENTENCE:STATEMENT,The Mona Lisa is a famous painting by Leonardo da Vinci
SENTENCE:STATEMENT,The Mona Lisa is a painting by Leonardo da Vinci
SENTENCE:STATEMENT,The Mona Lisa was painted by Leonardo da Vinci
SENTENCE:STATEMENT,The Statue of Liberty was a gift from France to the United States
SENTENCE:STATEMENT,The Titanic was a British passenger ship that famously sank in 1912
SENTENCE:STATEMENT,The United States is the third-largest country in the world by area
SENTENCE:STATEMENT,The arts are an important aspect of human culture
SENTENCE:STATEMENT,The beach is my happy place
SENTENCE:STATEMENT,The company's profits have been steadily increasing
SENTENCE:STATEMENT,The early bird catches the worm
SENTENCE:STATEMENT,The earth is round
SENTENCE:STATEMENT,The economy is improving
SENTENCE:STATEMENT,The environment is suffering from pollution and climate change
SENTENCE:STATEMENT,The first iPhone was released in 2007
SENTENCE:STATEMENT,The government will make an announcement at noon
SENTENCE:STATEMENT,The human body is made up of approximately 60% water
SENTENCE:STATEMENT,The human brain weighs approximately three pounds
SENTENCE:STATEMENT,The internet has changed the way we communicate
SENTENCE:STATEMENT,The internet has revolutionized the way we communicate
SENTENCE:STATEMENT,The movie was very suspenseful
SENTENCE:STATEMENT,The sky is so blue today
SENTENCE:STATEMENT,The sun is a star that is located at the center of our solar system
SENTENCE:STATEMENT,The sun rises in the east and sets in the west
SENTENCE:STATEMENT,The world is facing a climate crisis
SENTENCE:STATEMENT,Travel broadens the mind
SENTENCE:STATEMENT,Traveling alone can be a great experience
SENTENCE:STATEMENT,Watching movies is my favorite pastime
SENTENCE:STATEMENT,Water boils at 100 degrees Celsius
SENTENCE:STATEMENT,We should all strive to be more environmentally conscious in our daily lives
SENTENCE:STATEMENT,not a question
